ensembl_gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	inc	sig	time	external_gene_name	description	chromosome_name	start_position	end_position
13	ENSDARG00000001880	33.3677539356143	0.387188960525032	0.121694970159218	3.18163486969477	0.00146446318957644	0.0434130940222103	FALSE	TRUE	all	stx3a	syntaxin 3A [Source:ZFIN;Acc:ZDB-GENE-040426-1489]	14	21699129	21751346
14	ENSDARG00000001889	220.792441451843	1.0098878937132	0.183963369893914	5.48961401552698	4.02813029369626e-08	1.13370668481732e-05	FALSE	TRUE	all	tuba1a	tubulin, alpha 1a [Source:ZFIN;Acc:ZDB-GENE-090507-4]	23	35708730	35711398
15	ENSDARG00000002071	17.4570438031999	0.345329220545472	0.110584720216852	3.12275710304549	0.00179165543633468	0.049195651976053	FALSE	TRUE	all	adss	adenylosuccinate synthase [Source:ZFIN;Acc:ZDB-GENE-050417-337]	13	11489953	11536951
16	ENSDARG00000002184	99.5879319005034	-0.202467104358844	0.070825296120105	-2.85868348528331	0.00425403008260615	0.0893236479457593	FALSE	TRUE	all	igbp1	immunoglobulin (CD79A) binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2928]	5	36530836	36537975
17	ENSDARG00000002210	14.2259953311746	0.488997648114936	0.156733203676866	3.11993653318728	0.0018089001007585	0.0494261597981225	FALSE	TRUE	all	stk25a	serine/threonine kinase 25a [Source:ZFIN;Acc:ZDB-GENE-041010-92]	6	27041594	27057702
18	ENSDARG00000002217	73.1860688629096	0.264922274241586	0.0881384904901191	3.00575007319062	0.00264926651334365	0.0637215912016551	FALSE	TRUE	all	scocb	short coiled-coil protein b [Source:ZFIN;Acc:ZDB-GENE-041010-41]	14	48932235	48939560
19	ENSDARG00000002230	14.1349823510448	0.773814257693022	0.144436861047141	5.3574568990423	8.44014931146741e-08	2.14264699566116e-05	FALSE	TRUE	all	sypb	synaptophysin b [Source:ZFIN;Acc:ZDB-GENE-040718-205]	8	49403668	49432061
20	ENSDARG00000002249	47.7535872069651	0.790749812845305	0.266476927117619	2.96742318893628	0.00300307306974392	0.0693460814330169	FALSE	TRUE	all	tbxas1	thromboxane A synthase 1 (platelet) [Source:ZFIN;Acc:ZDB-GENE-030131-8805]	18	12655766	12834323
21	ENSDARG00000002285	173.516937341335	0.689605791785077	0.097584207629977	7.06677656696201	1.58573961861412e-12	1.34187208635755e-09	FALSE	TRUE	all	mcoln1a	mucolipin 1a [Source:ZFIN;Acc:ZDB-GENE-040426-2704]	1	45671687	45700574
22	ENSDARG00000002336	248.517356351153	-0.233589211894783	0.0771057263510747	-3.02946646052219	0.0024498610377636	0.0604883903444284	FALSE	TRUE	all	dlc	deltaC [Source:ZFIN;Acc:ZDB-GENE-000125-4]	15	20463448	20468302
23	ENSDARG00000002344	1079.4552287272	0.430692763097689	0.125910047395304	3.42063855909367	0.000624743019286995	0.0242979788490102	FALSE	TRUE	all	tubb4b	tubulin, beta 4B class IVb [Source:ZFIN;Acc:ZDB-GENE-030131-8625]	14	5861435	5865146
24	ENSDARG00000002347	159.484975057238	-0.247097527160039	0.0836708835112944	-2.95320805506595	0.0031448992409984	0.0715740108434233	FALSE	TRUE	all	cyp11a1	cytochrome P450, family 11, subfamily A, polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-010306-1]	25	22319940	22335283
25	ENSDARG00000002377	68.7574048324182	-0.216482264012878	0.0647583295174174	-3.34292539085111	0.000829001854968086	0.0296034230178821	FALSE	TRUE	all	mief2	mitochondrial elongation factor 2 [Source:ZFIN;Acc:ZDB-GENE-060929-864]	1	8521323	8532009
26	ENSDARG00000002396	41.1382798048704	-0.264435352088204	0.0797143759856833	-3.31728560649709	0.000908966466206738	0.0317016181194009	FALSE	TRUE	all	cry-dash	cryptochrome DASH [Source:ZFIN;Acc:ZDB-GENE-040617-2]	24	20194022	20208474
27	ENSDARG00000002467	47.0663255361465	0.46512734203492	0.114269720464218	4.07043388349383	4.69256580060287e-05	0.00360489281890175	FALSE	TRUE	all	rdh14b	retinol dehydrogenase 14b [Source:ZFIN;Acc:ZDB-GENE-030131-6605]	20	9421448	9428021
28	ENSDARG00000002552	474.753761458978	-0.146034233472016	0.0431284243291821	-3.38603219902944	0.000709110627984006	0.0264731474417826	FALSE	TRUE	all	mapkapk2a	mitogen-activated protein kinase-activated protein kinase 2a [Source:ZFIN;Acc:ZDB-GENE-030131-5532]	11	21154678	21218172
29	ENSDARG00000002745	257.126081025192	0.281304979817065	0.0886863943064509	3.17190682986876	0.00151441584570174	0.044751388879599	FALSE	TRUE	all	tdh	L-threonine dehydrogenase [Source:ZFIN;Acc:ZDB-GENE-040426-2379]	20	18992679	18998022
30	ENSDARG00000002748	43.7120608288418	0.220405701715761	0.0780265753932885	2.82475170292709	0.00473172676630345	0.094929918124514	FALSE	TRUE	all	sema6d	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D [Source:ZFIN;Acc:ZDB-GENE-040426-1933]	19	390298	417381
31	ENSDARG00000002750	66.8233375260552	0.227285740355643	0.0691111056361694	3.28870068368133	0.00100651000408281	0.0339044533944661	FALSE	TRUE	all	phf20a	PHD finger protein 20, a [Source:ZFIN;Acc:ZDB-GENE-070912-270]	11	25044082	25063586
32	ENSDARG00000002754	20.7722324762456	-0.376618708468535	0.106345087829511	-3.54147724314563	0.000397893179693181	0.0177750624742936	FALSE	TRUE	all	pdcd2l	programmed cell death 2-like [Source:ZFIN;Acc:ZDB-GENE-040426-967]	25	30442389	30454772
33	ENSDARG00000002790	193.572248665942	0.241562329327915	0.0549703827037994	4.3944087242314	1.11074660620154e-05	0.00118387782359458	FALSE	TRUE	all	ap2m1a	adaptor related protein complex 2 subunit mu 1a [Source:ZFIN;Acc:ZDB-GENE-030131-9784]	2	9789811	9818711
34	ENSDARG00000002947	24.9840788046498	-0.336075448381007	0.107282538150195	-3.13262022110723	0.00173253458402921	0.0483218517468497	FALSE	TRUE	all	abcd3b	ATP-binding cassette, sub-family D (ALD), member 3b [Source:ZFIN;Acc:ZDB-GENE-050517-29]	2	15109528	15125512
35	ENSDARG00000002994	79.2661775003015	0.204175248873623	0.0641274510351574	3.18389777821803	0.001453063158505	0.0432588365684992	FALSE	TRUE	all	itpkca	inositol-trisphosphate 3-kinase Ca [Source:ZFIN;Acc:ZDB-GENE-030131-6009]	21	21279159	21298995
36	ENSDARG00000003035	744.377252294499	0.203258416993065	0.0397371012585369	5.11507912141423	3.13609471768058e-07	6.39236824753505e-05	FALSE	TRUE	all	hspa9	heat shock protein 9 [Source:ZFIN;Acc:ZDB-GENE-030828-12]	14	12142813	12168897
37	ENSDARG00000003061	111.622656243691	0.355221451703761	0.0686243800622318	5.17631563857669	2.26310464615267e-07	4.97615726329239e-05	FALSE	TRUE	all	cd276	CD276 molecule [Source:ZFIN;Acc:ZDB-GENE-070112-452]	18	50433722	50524042
38	ENSDARG00000003085	47.5773484145813	-0.326706264490945	0.0954793897640563	-3.42174646589473	0.000622203035138513	0.0242329424773263	FALSE	TRUE	all	stambpl1	STAM binding protein-like 1 [Source:ZFIN;Acc:ZDB-GENE-100215-4]	12	17117405	17152139
39	ENSDARG00000003189	674.588680308358	-0.178492483201428	0.0553461720490071	-3.22501948361269	0.00125964095877358	0.0391812545296498	FALSE	TRUE	all	psmd1	proteasome 26S subunit, non-ATPase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-810]	22	37631034	37716627
40	ENSDARG00000003244	56.6469547106462	0.642777488409315	0.085772225335291	7.49400503364162	6.6803160309287e-14	8.1107750071167e-11	FALSE	TRUE	all	gbp3	guanylate binding protein 3 [Source:ZFIN;Acc:ZDB-GENE-070912-176]	2	43894368	43918874
41	ENSDARG00000003281	69.0718104462417	0.300460864977677	0.0698693903623654	4.30032183506096	1.70550241426939e-05	0.00167697728586172	FALSE	TRUE	all	pik3ip1	phosphoinositide-3-kinase interacting protein 1 [Source:ZFIN;Acc:ZDB-GENE-031030-14]	5	20866572	20879527
42	ENSDARG00000003398	173.781441062108	-0.18694083008224	0.055389731931375	-3.3750087527748	0.000738133431873932	0.0272650477315867	FALSE	TRUE	all	rbpja	recombination signal binding protein for immunoglobulin kappa J region a [Source:ZFIN;Acc:ZDB-GENE-031117-1]	1	14454663	14464020
43	ENSDARG00000003399	125.078784592206	-0.306915947721411	0.0631804764327654	-4.85776564296759	1.18717805657724e-06	0.000198514654071373	FALSE	TRUE	all	fgf8a	fibroblast growth factor 8a [Source:ZFIN;Acc:ZDB-GENE-990415-72]	13	28495419	28501985
44	ENSDARG00000003421	49.2682652921057	0.527771361530595	0.185327836978902	2.84777165769585	0.00440265010545072	0.0911257804603065	FALSE	TRUE	all	igf2bp2a	insulin-like growth factor 2 mRNA binding protein 2a [Source:ZFIN;Acc:ZDB-GENE-070912-44]	9	12468500	12575776
45	ENSDARG00000003527	285.901229008764	-0.17635130383676	0.0570829102142727	-3.08938880612058	0.00200568769018185	0.0530386635874319	FALSE	TRUE	all	mak16	MAK16 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-020419-35]	8	45394914	45416187
46	ENSDARG00000003570	159.116712695886	0.286443434658423	0.0920239539052328	3.11270514363472	0.00185381126154607	0.0501624801149941	FALSE	TRUE	all	hsp90b1	heat shock protein 90, beta (grp94), member 1 [Source:ZFIN;Acc:ZDB-GENE-031002-1]	4	9836465	9843836
47	ENSDARG00000003655	37.505865977001	0.401217274192308	0.113930574657187	3.52159440430767	0.000428959902190157	0.018658419421589	FALSE	TRUE	all	tmem59l	transmembrane protein 59-like [Source:ZFIN;Acc:ZDB-GENE-040426-2651]	22	21128113	21150845
48	ENSDARG00000003795	270.547506054076	0.255584684277801	0.0766929096281381	3.33257253528466	0.000860470370026188	0.0304159937759257	FALSE	TRUE	all	idh2	isocitrate dehydrogenase 2 (NADP+), mitochondrial [Source:ZFIN;Acc:ZDB-GENE-031118-95]	18	26096814	26101800
49	ENSDARG00000003808	23.6678570465114	0.408118649245357	0.141105690519751	2.89229050750602	0.00382444138291048	0.0826606235431696	FALSE	TRUE	all	aqp3a	aquaporin 3a [Source:ZFIN;Acc:ZDB-GENE-040426-2826]	5	43006422	43011814
50	ENSDARG00000003841	10.4489384259654	0.573322226861193	0.162411576577123	3.53005764086616	0.000415469140337776	0.0183598086535133	FALSE	TRUE	all	usb1	U6 snRNA biogenesis 1 [Source:ZFIN;Acc:ZDB-GENE-040801-197]	25	13677299	13686751
51	ENSDARG00000003963	184.540388414289	-0.274500902576425	0.0952129827026962	-2.88301967635609	0.00393882836476801	0.0845436253613967	FALSE	TRUE	all	traf4a	tnf receptor-associated factor 4a [Source:ZFIN;Acc:ZDB-GENE-040308-1]	15	15516612	15593263
52	ENSDARG00000004046	93.9854253823409	0.152104081355474	0.0477058739093425	3.18837218336099	0.0014307624841909	0.0427315961187497	FALSE	TRUE	all	phf6	PHD finger protein 6 [Source:ZFIN;Acc:ZDB-GENE-030131-5278]	14	31488579	31507744
53	ENSDARG00000004059	15.6455709952177	0.516466742243026	0.182866283572235	2.82428631541043	0.00473860337302666	0.094993179606439	FALSE	TRUE	all	galk2	galactokinase 2 [Source:ZFIN;Acc:ZDB-GENE-041114-143]	25	32390794	32400209
54	ENSDARG00000004094	127.514417433451	-0.172667378369991	0.0612953742829563	-2.81697241251698	0.00484786895697566	0.0962165889293143	FALSE	TRUE	all	acsbg2	acyl-CoA synthetase bubblegum family member 2 [Source:ZFIN;Acc:ZDB-GENE-030131-7099]	8	20140321	20192151
55	ENSDARG00000004114	72.1024309247957	0.351934616955718	0.0706368881418031	4.9823063588137	6.28308544884115e-07	0.000116970107439259	FALSE	TRUE	all	tti1	TELO2 interacting protein 1 [Source:ZFIN;Acc:ZDB-GENE-080819-3]	23	43424518	43448409
56	ENSDARG00000004167	9.7405821794944	0.412952448040826	0.146030637027755	2.82784802179791	0.00468620478992532	0.0944172213265978	FALSE	TRUE	all	zgc:110366	zgc:110366 [Source:ZFIN;Acc:ZDB-GENE-050417-302]	2	7132281	7148449
57	ENSDARG00000004218	57.3360648299079	0.267067796028312	0.0717343404715141	3.72301179982781	0.000196860317711242	0.0106537294032683	FALSE	TRUE	all	rnd1b	Rho family GTPase 1b [Source:ZFIN;Acc:ZDB-GENE-060315-7]	23	26979174	27006062
58	ENSDARG00000004232	35.1734666780691	-0.506544858270191	0.095622919224061	-5.29731640050927	1.17516967292897e-07	2.93005474254834e-05	FALSE	TRUE	all	dlb	deltaB [Source:ZFIN;Acc:ZDB-GENE-980526-114]	5	36693859	36701760
59	ENSDARG00000004460	88.1510347845172	0.341749472558009	0.0770891492457326	4.43317218962468	9.28566471321332e-06	0.00102897693300191	FALSE	TRUE	all	desi2	desumoylating isopeptidase 2 [Source:ZFIN;Acc:ZDB-GENE-040801-39]	13	11550454	11570568
60	ENSDARG00000004470	81.0204816782336	0.210869136216925	0.0548223268836872	3.8464098151892	0.000119861220109574	0.00730813225231406	FALSE	TRUE	all	prkcsh	protein kinase C substrate 80K-H [Source:ZFIN;Acc:ZDB-GENE-040426-770]	3	46762703	46795783
61	ENSDARG00000004527	50.1039508042824	0.283654253909042	0.0870304935081412	3.25925135518746	0.00111706650474059	0.0363991623627551	FALSE	TRUE	all	pin4	protein (peptidylprolyl cis/trans isomerase) NIMA-interacting, 4 (parvulin) [Source:ZFIN;Acc:ZDB-GENE-050522-117]	14	28432737	28437426
62	ENSDARG00000004594	199.72488266844	-0.154814067190847	0.0512600218234364	-3.02017169879676	0.00252631425509628	0.0618293826236316	FALSE	TRUE	all	znf800a	zinc finger protein 800a [Source:ZFIN;Acc:ZDB-GENE-041008-151]	25	26895962	26913274
63	ENSDARG00000004618	6.51515280844288	0.650075639564407	0.180449538137666	3.60253423906499	0.000315129876628839	0.0147903499782008	FALSE	TRUE	all	stx2a	syntaxin 2a [Source:ZFIN;Acc:ZDB-GENE-040801-80]	21	17951286	17956739
64	ENSDARG00000004726	102.566375134904	-0.261686829958401	0.0469029999303207	-5.579319667125	2.41461131004863e-08	7.40967261902285e-06	FALSE	TRUE	all	trappc11	trafficking protein particle complex 11 [Source:ZFIN;Acc:ZDB-GENE-030131-1723]	14	7320948	7375049
65	ENSDARG00000004727	64.1742209494984	-0.220697128007109	0.0633796665521403	-3.48214403787608	0.000497416056301319	0.0205478452251691	FALSE	TRUE	all	cmss1	cms1 ribosomal small subunit homolog [Source:ZFIN;Acc:ZDB-GENE-041010-146]	CHR_ALT_CTG9_2_10	29974283	29983235
66	ENSDARG00000004754	195.204601099839	-0.375370420697479	0.059048434184109	-6.35699194879748	2.05742771973724e-10	1.04461216497568e-07	FALSE	TRUE	all	hspa4a	heat shock protein 4a [Source:ZFIN;Acc:ZDB-GENE-040426-2832]	21	43137500	43171249
67	ENSDARG00000004870	161.194999538945	0.427851338530444	0.138440394636969	3.09050938241252	0.00199813491725939	0.0528890213881218	FALSE	TRUE	all	psen1	presenilin 1 [Source:ZFIN;Acc:ZDB-GENE-991119-4]	17	51206225	51224800
68	ENSDARG00000004880	15.2027892953702	0.465880865912073	0.148374126171645	3.13990638349657	0.00169001831908284	0.0477181190991816	FALSE	TRUE	all	acsm3	acyl-CoA synthetase medium chain family member 3 [Source:ZFIN;Acc:ZDB-GENE-080220-22]	2	44725550	44746723
69	ENSDARG00000005004	127.126635781912	0.651693496315478	0.186391580396615	3.49636767352241	0.000471638351225844	0.0199855856722029	FALSE	TRUE	all	slc5a12	solute carrier family 5 (sodium/monocarboxylate cotransporter), member 12 [Source:ZFIN;Acc:ZDB-GENE-040426-1343]	25	35474987	35524166
70	ENSDARG00000005049	6.90613520405211	0.547532534529001	0.181614517628025	3.01480598401518	0.00257143688052586	0.0625542550678072	FALSE	TRUE	all	rab20	RAB20, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-030131-9143]	9	8887528	8895243
71	ENSDARG00000005104	86.5894140749773	0.165712849153467	0.0556819005726376	2.97606309140423	0.00291974787739064	0.0679442699758817	FALSE	TRUE	all	limk2	LIM domain kinase 2 [Source:ZFIN;Acc:ZDB-GENE-040718-398]	5	20823409	20863374
72	ENSDARG00000005126	238.788680563905	0.422969974920601	0.105852899153699	3.99582796789011	6.44685381493643e-05	0.00466394799953626	FALSE	TRUE	all	large1	LARGE xylosyl- and glucuronyltransferase 1 [Source:ZFIN;Acc:ZDB-GENE-061204-1]	4	75013307	75057322
73	ENSDARG00000005163	135.880486550066	0.190525510922317	0.057866700186413	3.29248964099481	0.000993045560393948	0.0336130876048497	FALSE	TRUE	all	efr3a	EFR3 homolog A (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-040426-1681]	2	42871831	42936509
74	ENSDARG00000005186	94.9549100131553	0.332230644406592	0.0847840785800174	3.91854992082081	8.9083280933583e-05	0.00583955544617442	FALSE	TRUE	all	sp4	sp4 transcription factor [Source:ZFIN;Acc:ZDB-GENE-031202-3]	19	2364552	2563324
75	ENSDARG00000005218	16.2305506821906	0.510450414325655	0.153716509332905	3.32072603353337	0.000897836238192833	0.0314580639291529	FALSE	TRUE	all	wrnip1	Werner helicase interacting protein 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2415]	2	374365	389867
76	ENSDARG00000005423	30.0017419328234	0.38661323029414	0.127289355796862	3.03727855227052	0.00238724739703923	0.0592892969593615	FALSE	TRUE	all	pgam1a	phosphoglycerate mutase 1a [Source:ZFIN;Acc:ZDB-GENE-030131-1827]	13	31393192	31397987
77	ENSDARG00000005454	273.234998199566	-0.275506376972944	0.0438593329301719	-6.28159068017691	3.35126232971391e-10	1.61351725098726e-07	FALSE	TRUE	all	tacc3	transforming, acidic coiled-coil containing protein 3 [Source:ZFIN;Acc:ZDB-GENE-050522-327]	13	35880573	35892305
78	ENSDARG00000005590	141.932004321208	-0.16465303209611	0.0526091578640799	-3.12974088126453	0.00174960560237766	0.0485181096786458	FALSE	TRUE	all	mtf2	metal response element binding transcription factor 2 [Source:ZFIN;Acc:ZDB-GENE-060512-94]	2	10603550	10641998
79	ENSDARG00000005612	243.49083250835	0.419827692023243	0.147699678630729	2.84244147255645	0.00447694502815352	0.0919080367809907	FALSE	TRUE	all	aph1b	APH1B gamma secretase subunit [Source:ZFIN;Acc:ZDB-GENE-031118-31]	7	29176924	29186939
80	ENSDARG00000005840	58.4191293343681	0.711353026394907	0.108578705816477	6.55149664057756	5.69632697150608e-11	3.18139861358615e-08	FALSE	TRUE	all	got2b	glutamic-oxaloacetic transaminase 2b, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-030131-7917]	7	51774502	51793881
81	ENSDARG00000005842	13.0586351196919	0.70587542409571	0.137224857695285	5.14393263692168	2.69046040196092e-07	5.7351989866228e-05	FALSE	TRUE	all	cd9a	CD9 molecule a [Source:ZFIN;Acc:ZDB-GENE-030131-1175]	18	7122577	7143920
82	ENSDARG00000005908	96.7243439093066	-0.230396526798636	0.054502483487189	-4.2272665768119	2.36547361089573e-05	0.00223918137573774	FALSE	TRUE	all	clk4b	CDC-like kinase 4b [Source:ZFIN;Acc:ZDB-GENE-050227-19]	21	32280175	32301109
83	ENSDARG00000006029	62.4944025623079	0.422291079871124	0.107197015761067	3.93939212647835	8.16883215162879e-05	0.00547037500801521	FALSE	TRUE	all	lta4h	leukotriene A4 hydrolase [Source:ZFIN;Acc:ZDB-GENE-040426-2477]	4	7653607	7673165
84	ENSDARG00000006031	120.814026899331	0.981516309630015	0.115753591779712	8.47935942668559	2.26437149604991e-17	5.74841582065396e-14	FALSE	TRUE	all	abat	4-aminobutyrate aminotransferase [Source:ZFIN;Acc:ZDB-GENE-031006-4]	3	27832500	27880229
85	ENSDARG00000006040	54.2396644985394	0.276376109059637	0.0864930513756589	3.19535621259647	0.00139658353017571	0.0420707606042682	FALSE	TRUE	all	cyp20a1	cytochrome P450, family 20, subfamily A, polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2646]	6	9952678	9969458
86	ENSDARG00000006124	606.58006341275	-0.183485707599343	0.0407755136538535	-4.49989935521026	6.79856433866437e-06	0.000822019763228967	FALSE	TRUE	all	kdm5c	lysine (K)-specific demethylase 5C [Source:ZFIN;Acc:ZDB-GENE-060810-94]	8	36983559	37026607
87	ENSDARG00000006128	77.1979487409149	0.322260772637711	0.0951021717713027	3.38857427370501	0.000702569983615203	0.0263699822479228	FALSE	TRUE	all	cep170aa	centrosomal protein 170Aa [Source:ZFIN;Acc:ZDB-GENE-090312-109]	13	10980755	11072964
88	ENSDARG00000006169	35.4374528111979	0.479758025887952	0.158906964021187	3.01911265401801	0.00253516243890554	0.0619916034206981	FALSE	TRUE	all	lrrk2	leucine-rich repeat kinase 2 [Source:ZFIN;Acc:ZDB-GENE-071218-6]	25	35603107	35664817
89	ENSDARG00000006200	2413.18565386088	-0.111681743132595	0.0379323873967512	-2.94423185033064	0.00323757363753379	0.0732058654478794	FALSE	TRUE	all	eif4g1a	eukaryotic translation initiation factor 4 gamma, 1a [Source:ZFIN;Acc:ZDB-GENE-070112-702]	2	16798652	16842699
90	ENSDARG00000006219	540.107730110521	-0.192833267395083	0.0428044612924064	-4.50498059250875	6.63790087759582e-06	0.000809533892427876	FALSE	TRUE	all	gnl3	guanine nucleotide binding protein-like 3 (nucleolar) [Source:ZFIN;Acc:ZDB-GENE-030131-616]	11	3959495	3971035
91	ENSDARG00000006235	126.284676401493	-0.139106884432505	0.0463447938229833	-3.00156442520453	0.00268596196719946	0.0641670804844636	FALSE	TRUE	all	brms1la	BRMS1 like transcriptional repressor a [Source:ZFIN;Acc:ZDB-GENE-050913-49]	17	12753579	12764360
92	ENSDARG00000006314	197.520930417162	0.254730618833267	0.0485501737240643	5.24674989385276	1.54805825267221e-07	3.68384850917215e-05	FALSE	TRUE	all	itgav	integrin, alpha V [Source:ZFIN;Acc:ZDB-GENE-060616-382]	9	11597500	11655031
93	ENSDARG00000006399	645.038211567127	-0.146478838888818	0.0522235917387881	-2.80484037983208	0.00503415030393352	0.0983067463198207	FALSE	TRUE	all	ywhae1	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-030131-779]	15	24746444	24754895
94	ENSDARG00000006420	192.304320582545	0.416568685777932	0.135715477274632	3.06942652483893	0.00214470153591245	0.0553008221517593	FALSE	TRUE	all	atrnl1b	attractin-like 1b [Source:ZFIN;Acc:ZDB-GENE-030131-8092]	12	29842836	30032188
95	ENSDARG00000006422	48.4578333457128	-0.248015343126795	0.0727728967487992	-3.40807298056178	0.000654233944413777	0.0251299627204329	FALSE	TRUE	all	esyt3	extended synaptotagmin-like protein 3 [Source:ZFIN;Acc:ZDB-GENE-050809-35]	9	23783856	23807032
96	ENSDARG00000006527	897.259623987684	-0.194275968051236	0.0278673632553407	-6.97145138099864	3.13687730535044e-12	2.4332582986642e-09	FALSE	TRUE	all	brd3a	bromodomain containing 3a [Source:ZFIN;Acc:ZDB-GENE-030131-6141]	21	18266319	18275337
97	ENSDARG00000006585	37.5287763724458	0.301491361239145	0.0889890732882358	3.38795933139582	0.000704147041963832	0.0263936995259598	FALSE	TRUE	all	DMWD	zmp:0000000529 [Source:ZFIN;Acc:ZDB-GENE-130530-532]	15	47883585	47895200
98	ENSDARG00000006588	9.7488622165183	-0.683256343683811	0.239895348191703	-2.84814336265417	0.00439751100468835	0.0911257804603065	FALSE	TRUE	all	zgc:111983	zgc:111983 [Source:ZFIN;Acc:ZDB-GENE-050417-335]	1	45173421	45177401
99	ENSDARG00000006598	2.04356441003449	1.44458234506318	0.328280209826703	4.40045516549953	1.0802404633089e-05	0.00116469941845178	FALSE	TRUE	all	sgk2b	serum/glucocorticoid regulated kinase 2b [Source:ZFIN;Acc:ZDB-GENE-060929-44]	16	26530426	26537114
100	ENSDARG00000006624	301.918064918743	-0.142589143930417	0.0316516046628661	-4.50495781964899	6.63861276153926e-06	0.000809533892427876	FALSE	TRUE	all	ppp2r2ab	protein phosphatase 2, regulatory subunit B, alpha b [Source:ZFIN;Acc:ZDB-GENE-030131-5474]	10	18877362	18906672
101	ENSDARG00000006636	3.53393804549695	1.20173010719503	0.333797630984957	3.60017566226881	0.000318002272112939	0.0148747293948975	FALSE	TRUE	all	slitrk2	SLIT and NTRK-like family, member 2 [Source:ZFIN;Acc:ZDB-GENE-080327-7]	14	19258702	19261733
